system,user,assistant
ReliefLink coordination assistant.,Provide community data for North 24 Parganas.,"{""needs"": [{""title"": ""Medical supply breach in Barrackpore"", ""category"": ""medical"", ""peopleAffected"": 150, ""severityLevel"": 4, ""resourceScarcity"": 5, ""hoursWaiting"": 18, ""latitude"": 22.755, ""longitude"": 88.368, ""status"": ""open""}, {""title"": ""Community kitchen startup required in Madhyamgram"", ""category"": ""food"", ""peopleAffected"": 300, ""severityLevel"": 3, ""resourceScarcity"": 4, ""hoursWaiting"": 8, ""latitude"": 22.705, ""longitude"": 88.442, ""status"": ""open""}], ""volunteers"": [{""name"": ""Rahul Sen"", ""skills"": ""medical"", ""availability"": ""anytime"", ""latitude"": 22.76, ""longitude"": 88.37}]}"
ReliefLink coordination assistant.,Generate south kolkata surge data.,"{""needs"": [{""title"": ""Submerged homes in Jadavpur"", ""category"": ""rescue"", ""peopleAffected"": 45, ""severityLevel"": 5, ""resourceScarcity"": 4, ""hoursWaiting"": 2, ""latitude"": 22.484, ""longitude"": 88.371, ""status"": ""open""}, {""title"": ""Drinking water failure in Tollygunge"", ""category"": ""water"", ""peopleAffected"": 400, ""severityLevel"": 3, ""resourceScarcity"": 5, ""hoursWaiting"": 36, ""latitude"": 22.493, ""longitude"": 88.349, ""status"": ""open""}], ""volunteers"": [{""name"": ""Amina Begum"", ""skills"": ""rescue"", ""availability"": ""weekend"", ""latitude"": 22.49, ""longitude"": 88.37}]}"
ReliefLink Coordination Engine v4.2,Please provide 150 records for urban relief operations.,"[{""title"":""Flooded relief camp at Newtown Action Area"",""category"":""shelter"",""peopleAffected"":150,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":10,""latitude"":22.5937,""longitude"":88.4682,""status"":""open""},{""title"":""Medical aid requested for children in Kidderpore"",""category"":""medical"",""peopleAffected"":45,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":2,""latitude"":22.5401,""longitude"":88.3245,""status"":""open""},{""title"":""Dry ration needed for residents of Baranagar"",""category"":""food"",""peopleAffected"":320,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":20,""latitude"":22.6455,""longitude"":88.3672,""status"":""open""},{""title"":""Evacuation assistance required in Lake Town"",""category"":""rescue"",""peopleAffected"":85,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":5,""latitude"":22.6074,""longitude"":88.4021,""status"":""open""},{""title"":""Potable water tank empty at Baguiati"",""category"":""water"",""peopleAffected"":400,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":36,""latitude"":22.6189,""longitude"":88.4116,""status"":""open""},{""name"":""Souvik Deb"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5697,""longitude"":88.3541},{""name"":""Ananya Sengupta"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.5855,""longitude"":88.4355},{""name"":""Rahul Kumar"",""skills"":""rescue"",""availability"":""weekday"",""latitude"":22.5209,""longitude"":88.3094},{""name"":""Tanvi Roy"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.5739,""longitude"":88.3615},{""name"":""Deepak Verma"",""skills"":""food distribution"",""availability"":""weekend"",""latitude"":22.6021,""longitude"":88.4215}]"
You are a ReliefLink data processor managing community assets.,Generate a diverse batch of needs reports and volunteer data.,"[{""title"":""Critical medical aid required at Entally"",""category"":""medical"",""peopleAffected"":25,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":2,""latitude"":22.5601,""longitude"":88.3758,""status"":""open""},{""title"":""Dry ration delivery for storm-hit slums in Beliaghata"",""category"":""food"",""peopleAffected"":400,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":24,""latitude"":22.5677,""longitude"":88.3842,""status"":""open""},{""title"":""Volunteer Search: Food Distribution"",""name"":""Sayan Dutta"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.5702,""longitude"":88.3905},{""title"":""Rescue operations pending in Jadavpur due to heavy rains"",""category"":""rescue"",""peopleAffected"":15,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":8,""latitude"":22.4842,""longitude"":88.3695,""status"":""open""},{""title"":""Drinking water demand in suburban Kasba"",""category"":""water"",""peopleAffected"":120,""severityLevel"":2,""resourceScarcity"":4,""hoursWaiting"":18,""latitude"":22.5113,""longitude"":88.3855,""status"":""open""},{""title"":""Logistics Lead Volunteer Profile"",""name"":""Megha Chakraborty"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.5355,""longitude"":88.3244},{""title"":""Medical aid supply shortfall at Baranagar hospital block"",""category"":""medical"",""peopleAffected"":450,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":10,""latitude"":22.6465,""longitude"":88.3615,""status"":""open""},{""title"":""Relief coordinator profile"",""name"":""Arup Sen"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.5511,""longitude"":88.3188},{""title"":""Water tanker emergency near Lake Market"",""category"":""water"",""peopleAffected"":90,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":6,""latitude"":22.5201,""longitude"":88.3512,""status"":""open""},{""title"":""Structural inspection needed for shelter, Park Street"",""category"":""shelter"",""peopleAffected"":10,""severityLevel"":4,""resourceScarcity"":1,""hoursWaiting"":4,""latitude"":22.5528,""longitude"":88.3547,""status"":""open""}]"
ReliefLink Coordination Engine v4.2,Import 150 entries including community needs and volunteer profiles for Kolkata disaster zones.,"[{""title"":""Critical drinking water shortage in Kasba slums"",""category"":""water"",""peopleAffected"":450,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":36,""latitude"":22.5135,""longitude"":88.3845,""status"":""open""},{""title"":""Relocation needed for landslide victims in Joka"",""category"":""shelter"",""peopleAffected"":60,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":18,""latitude"":22.4533,""longitude"":88.2917,""status"":""open""},{""title"":""Emergency supply of dry rations in Entally"",""category"":""food"",""peopleAffected"":250,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":24,""latitude"":22.5529,""longitude"":88.3753,""status"":""open""},{""title"":""Trapped elderly individuals near Hooghly River bank"",""category"":""rescue"",""peopleAffected"":15,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":4,""latitude"":22.5621,""longitude"":88.3412,""status"":""open""},{""title"":""Primary care assistance required for infant illness outbreak in Tiljala"",""category"":""medical"",""peopleAffected"":40,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":12,""latitude"":22.5358,""longitude"":88.3882,""status"":""open""},{""name"":""Suresh Mehta"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5201,""longitude"":88.3610},{""name"":""Anita Roychowdhury"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.6105,""longitude"":88.4215},{""name"":""Vikram Singh"",""skills"":""rescue"",""availability"":""weekend"",""latitude"":22.5020,""longitude"":88.3305},{""name"":""Riya Ghosh"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.5701,""longitude"":88.3800},{""name"":""Rahul Das"",""skills"":""food distribution"",""availability"":""weekend"",""latitude"":22.4502,""longitude"":88.3101}]"
You are a ReliefLink data generation engine.,Generate a sample community need from North Kolkata.,"{""title"":""Drinking water shortage at Baghbazar"", ""category"":""water"", ""peopleAffected"":85, ""severityLevel"":4, ""resourceScarcity"":5, ""hoursWaiting"":36, ""latitude"":22.6053, ""longitude"":88.3615, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a volunteer profile located in South Kolkata.,"{""name"":""Ananya Ghosh"", ""skills"":""medical"", ""availability"":""anytime"", ""latitude"":22.5209, ""longitude"":88.3582}"
You are a ReliefLink data generation engine.,Generate a community needs record for Jadavpur area.,"{""title"":""Food scarcity following power failure in Jadavpur"", ""category"":""food"", ""peopleAffected"":150, ""severityLevel"":3, ""resourceScarcity"":4, ""hoursWaiting"":20, ""latitude"":22.4807, ""longitude"":88.3754, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a rescue coordination volunteer profile.,"{""name"":""Vikram Sen"", ""skills"":""rescue"", ""availability"":""weekday"", ""latitude"":22.5645, ""longitude"":88.4231}"
You are a ReliefLink data generation engine.,Generate an urgent shelter request for Ballygunge.,"{""title"":""Damaged housing in Ballygunge sector"", ""category"":""shelter"", ""peopleAffected"":30, ""severityLevel"":5, ""resourceScarcity"":5, ""hoursWaiting"":8, ""latitude"":22.5273, ""longitude"":88.3585, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a logistics expert volunteer profile.,"{""name"":""Sita Mistry"", ""skills"":""logistics"", ""availability"":""weekend"", ""latitude"":22.5401, ""longitude"":88.3472}"
You are a ReliefLink data generation engine.,Generate a community needs record for New Town.,"{""title"":""Urgent medical supplies needed in New Town"", ""category"":""medical"", ""peopleAffected"":400, ""severityLevel"":4, ""resourceScarcity"":3, ""hoursWaiting"":12, ""latitude"":22.5746, ""longitude"":88.4593, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a food distribution volunteer profile.,"{""name"":""Ravi Kapoor"", ""skills"":""food distribution"", ""availability"":""anytime"", ""latitude"":22.5852, ""longitude"":88.4357}"
You are a ReliefLink data generation engine.,Generate a high priority medical need in Barasat.,"{""title"":""Immediate trauma kits for accident victims"", ""category"":""medical"", ""peopleAffected"":15, ""severityLevel"":5, ""resourceScarcity"":4, ""hoursWaiting"":2, ""latitude"":22.6841, ""longitude"":88.4735, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a general volunteer for Dum Dum.,"{""name"":""Ishita Chatterjee"", ""skills"":""coordination"", ""availability"":""weekday"", ""latitude"":22.6373, ""longitude"":88.4116}"
You are a ReliefLink data generation engine.,Generate a large-scale shelter need in Entally.,"{""title"":""Relocation shelter for flood displaced"", ""category"":""shelter"", ""peopleAffected"":480, ""severityLevel"":4, ""resourceScarcity"":3, ""hoursWaiting"":55, ""latitude"":22.5592, ""longitude"":88.3789, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a medical volunteer in Lake Town.,"{""name"":""Dr. Amitab Ghosh"", ""skills"":""medical"", ""availability"":""anytime"", ""latitude"":22.6074, ""longitude"":88.4068}"
You are a ReliefLink data generation engine.,Generate an urgent rescue report for Garden Reach.,"{""title"":""Stranded persons needing boat rescue"", ""category"":""rescue"", ""peopleAffected"":25, ""severityLevel"":5, ""resourceScarcity"":5, ""hoursWaiting"":4, ""latitude"":22.5358, ""longitude"":88.3039, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a logistical support volunteer profile.,"{""name"":""Rahul Pal"", ""skills"":""logistics"", ""availability"":""anytime"", ""latitude"":22.5113, ""longitude"":88.3618}"
You are a ReliefLink data generation engine.,Generate a water distribution need in Behala.,"{""title"":""Drinking water pipeline blockage in Behala"", ""category"":""water"", ""peopleAffected"":200, ""severityLevel"":3, ""resourceScarcity"":2, ""hoursWaiting"":40, ""latitude"":22.4836, ""longitude"":88.3185, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a coordinating volunteer in Behala.,"{""name"":""Manoj Gupta"", ""skills"":""coordination"", ""availability"":""weekend"", ""latitude"":22.4812, ""longitude"":88.3160}"
You are a ReliefLink data generation engine.,Generate a food shortage crisis report in Park Street.,"{""title"":""Cooked food request for homeless citizens"", ""category"":""food"", ""peopleAffected"":95, ""severityLevel"":4, ""resourceScarcity"":3, ""hoursWaiting"":10, ""latitude"":22.5539, ""longitude"":88.3533, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a medical help volunteer profile.,"{""name"":""Shilpa Roy"", ""skills"":""medical"", ""availability"":""weekday"", ""latitude"":22.5322, ""longitude"":88.3614}"
You are a ReliefLink data generation engine.,Generate a shelter issue for slum settlement in Tiljala.,"{""title"":""Community shelter roof failure"", ""category"":""shelter"", ""peopleAffected"":70, ""severityLevel"":3, ""resourceScarcity"":4, ""hoursWaiting"":60, ""latitude"":22.5353, ""longitude"":88.3846, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a rescue skilled volunteer profile.,"{""name"":""Dev Roy"", ""skills"":""rescue"", ""availability"":""anytime"", ""latitude"":22.5699, ""longitude"":88.3582}"
You are a ReliefLink data generation engine.,Generate a need for a field clinic in Alipore.,"{""title"":""Acute hygiene monitoring needed"", ""category"":""medical"", ""peopleAffected"":40, ""severityLevel"":4, ""resourceScarcity"":2, ""hoursWaiting"":18, ""latitude"":22.5298, ""longitude"":88.3308, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a food supply volunteer in Alipore.,"{""name"":""Tanuja Sen"", ""skills"":""food distribution"", ""availability"":""weekend"", ""latitude"":22.5305, ""longitude"":88.3302}"
You are a ReliefLink data generation engine.,Generate a clean water request in Shibpur.,"{""title"":""Safe water scarcity for pediatric health"", ""category"":""water"", ""peopleAffected"":110, ""severityLevel"":5, ""resourceScarcity"":4, ""hoursWaiting"":45, ""latitude"":22.5701, ""longitude"":88.3243, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a logistic coordination volunteer.,"{""name"":""Karan Bhat"", ""skills"":""logistics"", ""availability"":""weekday"", ""latitude"":22.5684, ""longitude"":88.3182}"
You are a ReliefLink data generation engine.,Generate a medical triage report in EM Bypass.,"{""title"":""Temporary emergency triage center"", ""category"":""medical"", ""peopleAffected"":60, ""severityLevel"":5, ""resourceScarcity"":5, ""hoursWaiting"":1, ""latitude"":22.5279, ""longitude"":88.4069, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a medical skills volunteer.,"{""name"":""Pooja Sharma"", ""skills"":""medical"", ""availability"":""anytime"", ""latitude"":22.5404, ""longitude"":88.4011}"
You are a ReliefLink data generation engine.,Generate a rescue mission needed in Dhakuria.,"{""title"":""Waterlogged street trapped residents"", ""category"":""rescue"", ""peopleAffected"":20, ""severityLevel"":4, ""resourceScarcity"":2, ""hoursWaiting"":3, ""latitude"":22.4975, ""longitude"":88.3759, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a rescue specialist volunteer.,"{""name"":""Bijoy Deb"", ""skills"":""rescue"", ""availability"":""weekend"", ""latitude"":22.4981, ""longitude"":88.3770}"
You are a ReliefLink data generation engine.,Generate a critical food request for Dum Dum area.,"{""title"":""Immediate food ration required"", ""category"":""food"", ""peopleAffected"":300, ""severityLevel"":3, ""resourceScarcity"":5, ""hoursWaiting"":22, ""latitude"":22.6276, ""longitude"":88.4234, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a distribution volunteer profile.,"{""name"":""Neha Malik"", ""skills"":""food distribution"", ""availability"":""weekday"", ""latitude"":22.6310, ""longitude"":88.4312}"
You are a ReliefLink data generation engine.,Generate a housing support needed in Sealdah.,"{""title"":""Public area emergency camp"", ""category"":""shelter"", ""peopleAffected"":500, ""severityLevel"":3, ""resourceScarcity"":2, ""hoursWaiting"":72, ""latitude"":22.5621, ""longitude"":88.3695, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a coordinator profile for city sector.,"{""name"":""Samir Kadam"", ""skills"":""coordination"", ""availability"":""anytime"", ""latitude"":22.5615, ""longitude"":88.3705}"
You are a ReliefLink data generation engine.,Generate a serious dehydration warning in Bally.,"{""title"":""Public well drying up in Bally"", ""category"":""water"", ""peopleAffected"":220, ""severityLevel"":4, ""resourceScarcity"":4, ""hoursWaiting"":30, ""latitude"":22.6515, ""longitude"":88.3370, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a general volunteer in Howrah area.,"{""name"":""Anita Basu"", ""skills"":""food distribution"", ""availability"":""weekend"", ""latitude"":22.5855, ""longitude"":88.3175}"
You are a ReliefLink data generation engine.,Generate an urban medical help request.,"{""title"":""Essential antibiotics for sick residents"", ""category"":""medical"", ""peopleAffected"":60, ""severityLevel"":4, ""resourceScarcity"":3, ""hoursWaiting"":15, ""latitude"":22.5721, ""longitude"":88.3475, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a logistical aid volunteer.,"{""name"":""Rohit Raj"", ""skills"":""logistics"", ""availability"":""weekday"", ""latitude"":22.5810, ""longitude"":88.3512}"
You are a ReliefLink data generation engine.,Generate an extreme hazard in South City.,"{""title"":""Structural debris cleanup near major junction"", ""category"":""rescue"", ""peopleAffected"":10, ""severityLevel"":5, ""resourceScarcity"":2, ""hoursWaiting"":2, ""latitude"":22.5028, ""longitude"":88.3659, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a relief volunteer.,"{""name"":""Sunil Gupta"", ""skills"":""coordination"", ""availability"":""anytime"", ""latitude"":22.5035, ""longitude"":88.3662}"
You are a ReliefLink data generation engine.,Generate an shelter requirement near Maidan.,"{""title"":""Night stay facilities for emergency relief"", ""category"":""shelter"", ""peopleAffected"":150, ""severityLevel"":2, ""resourceScarcity"":3, ""hoursWaiting"":24, ""latitude"":22.5489, ""longitude"":88.3444, ""status"":""open""}"
You are a ReliefLink data generation engine.,Generate a volunteer coordinator for local aid.,"{""name"":""Varun Mitra"", ""skills"":""coordination"", ""availability"":""weekend"", ""latitude"":22.5455, ""longitude"":88.3415}"
You are a ReliefLink data intake manager for Kolkata disaster relief.,Provide batch records for needs and volunteers in Kolkata urban areas.,"[{""title"": ""Submerged community blocks in Kasba"", ""category"": ""rescue"", ""peopleAffected"": 85, ""severityLevel"": 5, ""resourceScarcity"": 4, ""hoursWaiting"": 10, ""latitude"": 22.5085, ""longitude"": 88.3846, ""status"": ""open""}, {""title"": ""Clean drinking water requirement in Baguiati"", ""category"": ""water"", ""peopleAffected"": 420, ""severityLevel"": 3, ""resourceScarcity"": 3, ""hoursWaiting"": 36, ""latitude"": 22.6247, ""longitude"": 88.4239, ""status"": ""open""}, {""name"": ""Anik Sen"", ""skills"": ""medical"", ""availability"": ""anytime"", ""latitude"": 22.5120, ""longitude"": 88.3800}, {""name"": ""Megha Sharma"", ""skills"": ""food distribution"", ""availability"": ""weekend"", ""latitude"": 22.6300, ""longitude"": 88.4000}]"
ReliefLink integration: Emergency services simulation.,Add new flood recovery tasks.,"[{""title"": ""Medical supply shortage in Tollygunge"", ""category"": ""medical"", ""peopleAffected"": 150, ""severityLevel"": 4, ""resourceScarcity"": 5, ""hoursWaiting"": 18, ""latitude"": 22.4936, ""longitude"": 88.3499, ""status"": ""open""}, {""name"": ""Vikram Chatterjee"", ""skills"": ""logistics"", ""availability"": ""weekday"", ""latitude"": 22.4800, ""longitude"": 88.3400}]"
You are a ReliefLink data processor specializing in Kolkata disaster logistics.,Generate a set of needs and volunteer profiles for North and South 24 Parganas zones.,"[{""title"":""Acute Food Shortage in Madhyamgram"",""category"":""food"",""peopleAffected"":85,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":10,""latitude"":22.6865,""longitude"":88.4552,""status"":""open""},{""title"":""Medical aid needed for elderly group"",""category"":""medical"",""peopleAffected"":32,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":2,""latitude"":22.5615,""longitude"":88.3758,""status"":""open""},{""title"":""Rising water levels near Kasba"",""category"":""rescue"",""peopleAffected"":450,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":1,""latitude"":22.5135,""longitude"":88.3979,""status"":""open""},{""title"":""Volunteer with disaster training needed"",""name"":""Sumit Sen"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.5697,""longitude"":88.3697},{""title"":""Mobile health support required in Baranagar"",""category"":""medical"",""peopleAffected"":115,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":18,""latitude"":22.6465,""longitude"":88.3745,""status"":""open""},{""name"":""Rita Majumdar"",""skills"":""medical"",""availability"":""weekend"",""latitude"":22.6254,""longitude"":88.3698}]"
You are a ReliefLink data processor ensuring consistent distribution patterns.,Add emergency rescue and water delivery requests near Barrackpore.,"[{""title"":""Contaminated Water Crisis at Titagarh"",""category"":""water"",""peopleAffected"":280,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":30,""latitude"":22.7314,""longitude"":88.3754,""status"":""open""},{""title"":""Stranded residents due to flash floods"",""category"":""rescue"",""peopleAffected"":90,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":5,""latitude"":22.7533,""longitude"":88.3582,""status"":""open""},{""name"":""Kunal Biswas"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.7601,""longitude"":88.3541},{""name"":""Sunita Ghosh"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.7212,""longitude"":88.3776}]"
You are a disaster relief logistics analyst for the ReliefLink Kolkata regional hub.,Generate a diverse set of needs reports and volunteer data to seed our database.,"[{""title"":""Infant formula depletion in New Town"", ""category"":""food"", ""peopleAffected"":42, ""severityLevel"":4, ""resourceScarcity"":5, ""hoursWaiting"":8, ""latitude"":22.5841, ""longitude"":88.4682, ""status"":""open""}, {""title"":""Water logging causing skin rashes in Khidirpur"", ""category"":""medical"", ""peopleAffected"":115, ""severityLevel"":3, ""resourceScarcity"":2, ""hoursWaiting"":24, ""latitude"":22.5358, ""longitude"":88.3242, ""status"":""open""}, {""title"":""Bridge washout hindering food access in South 24 Parganas border"", ""category"":""rescue"", ""peopleAffected"":250, ""severityLevel"":5, ""resourceScarcity"":5, ""hoursWaiting"":36, ""latitude"":22.4201, ""longitude"":88.3615, ""status"":""open""}, {""name"":""Sanjay Sen"", ""skills"":""rescue"", ""availability"":""anytime"", ""latitude"":22.5697, ""longitude"":88.3582}, {""name"":""Mita Ghosh"", ""skills"":""medical"", ""availability"":""weekday"", ""latitude"":22.5188, ""longitude"":88.4010}, {""title"":""Relief tent structure damage in Bansdroni"", ""category"":""shelter"", ""peopleAffected"":25, ""severityLevel"":3, ""resourceScarcity"":3, ""hoursWaiting"":10, ""latitude"":22.4721, ""longitude"":88.3562, ""status"":""open""}, {""title"":""Emergency bottled water for elderly block in Ballygunge"", ""category"":""water"", ""peopleAffected"":85, ""severityLevel"":4, ""resourceScarcity"":4, ""hoursWaiting"":5, ""latitude"":22.5273, ""longitude"":88.3561, ""status"":""open""}, {""name"":""Deepak Shaw"", ""skills"":""food distribution"", ""availability"":""weekend"", ""latitude"":22.6105, ""longitude"":88.4239}, {""title"":""Mobile health camp needed for displaced families in Barasat"", ""category"":""medical"", ""peopleAffected"":310, ""severityLevel"":4, ""resourceScarcity"":4, ""hoursWaiting"":42, ""latitude"":22.7215, ""longitude"":88.4862, ""status"":""open""}, {""name"":""Ananya Paul"", ""skills"":""coordination"", ""availability"":""anytime"", ""latitude"":22.5819, ""longitude"":88.4357}]"
ReliefLink coordination assistant.,Provide data for 100 community needs and 50 volunteers near Kolkata.,"[{""title"":""Critical food shortage in South Dum Dum"",""category"":""food"",""peopleAffected"":250,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":20,""latitude"":22.6186,""longitude"":88.4069,""status"":""open""},{""title"":""Flash flood relief needed near Baranagar"",""category"":""rescue"",""peopleAffected"":85,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":3,""latitude"":22.6457,""longitude"":88.3639,""status"":""open""},{""title"":""Water contamination report in Bally"",""category"":""water"",""peopleAffected"":420,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":18,""latitude"":22.6371,""longitude"":88.3371,""status"":""open""},{""title"":""Elderly needing urgent medicine in Jadavpur"",""category"":""medical"",""peopleAffected"":45,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":10,""latitude"":22.4975,""longitude"":88.3686,""status"":""open""},{""title"":""Shelter collapsing at Kasba locality"",""category"":""shelter"",""peopleAffected"":150,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":2,""latitude"":22.5137,""longitude"":88.3934,""status"":""open""},{""name"":""Sourav Das"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5697,""longitude"":88.3697},{""name"":""Aditi Sengupta"",""skills"":""rescue"",""availability"":""weekend"",""latitude"":22.6105,""longitude"":88.4233},{""name"":""Vikram Singh"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.4789,""longitude"":88.3385}]"
